sat_id,x0_m,y0_m,vx0_ms,vy0_ms,euler_class,euler_energy,euler_final_x_m,euler_final_y_m,rk4_class,rk4_energy,rk4_final_x_m,rk4_final_y_m
0,6571000.000,0.000,0.000,5000.000,3,-4.816551e+07,6401162.845,946750.036,3,-4.816055e+07,6400280.114,951620.268
1,6594376.623,0.000,0.000,5000.000,3,-4.795100e+07,6384613.424,1053650.484,3,-4.794551e+07,6383637.527,1058490.726
2,6617753.247,0.000,0.000,5000.000,3,-4.773798e+07,6366288.687,1155071.167,3,-4.773199e+07,6365225.774,1159880.255
3,6641129.870,0.000,0.000,5000.000,3,-4.752640e+07,6349118.863,1246282.441,3,-4.751997e+07,6347979.373,1251061.446
4,6664506.494,0.000,0.000,5000.000,3,-4.731627e+07,6331661.573,1332179.982,3,-4.730945e+07,6330451.297,1336928.875
5,6687883.117,0.000,0.000,5000.000,3,-4.710758e+07,6314413.244,1412829.153,3,-4.710039e+07,6313137.833,1417548.280
6,6711259.740,0.000,0.000,5000.000,3,-4.690035e+07,6295091.365,1492981.272,3,-4.689279e+07,6293752.055,1497669.260
7,6734636.364,0.000,0.000,5000.000,3,-4.669452e+07,6276611.848,1567967.955,3,-4.668663e+07,6278087.042,1567979.556
8,6758012.987,0.000,0.000,5000.000,3,-4.649009e+07,6259391.069,1637868.543,3,-4.648190e+07,6257940.217,1642497.044
9,6781389.610,0.000,0.000,5000.000,3,-4.628706e+07,6240707.356,1707348.158,3,-4.627858e+07,6239204.440,1711946.577
10,6804766.234,0.000,0.000,5000.000,3,-4.608543e+07,6220588.715,1776393.972,3,-4.607665e+07,6222255.504,1776412.843
11,6828142.857,0.000,0.000,5000.000,3,-4.588515e+07,6202392.809,1840477.232,3,-4.587611e+07,6200792.933,1845015.359
12,6851519.481,0.000,0.000,5000.000,3,-4.568624e+07,6183032.052,1904170.936,3,-4.567694e+07,6181387.180,1908679.057
13,6874896.104,0.000,0.000,5000.000,3,-4.548864e+07,6166055.967,1963014.171,3,-4.547912e+07,6164370.986,1967494.243
14,6898272.727,0.000,0.000,5000.000,3,-4.529242e+07,6144535.470,2025937.469,3,-4.528264e+07,6142807.325,2030386.327
15,6921649.351,0.000,0.000,5000.000,3,-4.509748e+07,6125635.569,2084061.842,3,-4.508749e+07,6123869.045,2088481.616
16,6945025.974,0.000,0.000,5000.000,3,-4.490386e+07,6105848.703,2141833.811,3,-4.489366e+07,6104044.637,2146224.041
17,6968402.597,0.000,0.000,5000.000,3,-4.471154e+07,6085193.448,2199247.968,3,-4.470112e+07,6083352.671,2203608.216
18,6991779.221,0.000,0.000,5000.000,3,-4.452050e+07,6063688.107,2256299.103,3,-4.450987e+07,6061811.449,2260628.948
19,7015155.844,0.000,0.000,5000.000,3,-4.433073e+07,6041350.727,2312982.201,3,-4.431990e+07,6039439.012,2317281.241
20,7038532.468,0.000,0.000,5000.000,3,-4.414219e+07,6022347.742,2365077.997,3,-4.413119e+07,6020405.402,2369348.854
21,7061909.091,0.000,0.000,5000.000,3,-4.395490e+07,6002708.963,2416866.146,3,-4.394372e+07,6000736.721,2421108.553
22,7085285.714,0.000,0.000,5000.000,3,-4.376887e+07,5978149.079,2472491.576,3,-4.375750e+07,5976144.136,2476702.182
23,7108662.338,0.000,0.000,5000.000,3,-4.358404e+07,5957207.725,2523622.280,3,-4.357250e+07,5955174.357,2527803.899
24,7132038.961,0.000,0.000,5000.000,3,-4.340041e+07,5935674.306,2574437.128,3,-4.338871e+07,5933613.222,2578589.537
25,7155415.584,0.000,0.000,5000.000,3,-4.321798e+07,5913562.710,2624933.837,3,-4.320612e+07,5911474.614,2629056.825
