step,sat_id,class,x_m,y_m,r_km
0,0,3,6571000.000,0.000,6571.000
1,0,3,6570995.384,4999.999,6570.997
2,0,3,6570981.537,9999.991,6570.989
3,0,3,6570958.458,14999.968,6570.976
4,0,3,6570926.147,19999.925,6570.957
5,0,3,6570884.605,24999.854,6570.932
6,0,3,6570833.831,29999.747,6570.902
7,0,3,6570773.826,34999.598,6570.867
8,0,3,6570704.589,39999.401,6570.826
9,0,3,6570626.119,44999.147,6570.780
10,0,3,6570538.418,49998.829,6570.729
11,0,3,6570441.485,54998.442,6570.672
12,0,3,6570335.320,59997.977,6570.609
13,0,3,6570219.922,64997.428,6570.541
14,0,3,6570095.292,69996.787,6570.468
15,0,3,6569961.429,74996.048,6570.389
16,0,3,6569818.334,79995.204,6570.305
17,0,3,6569666.006,84994.248,6570.216
18,0,3,6569504.445,89993.172,6570.121
19,0,3,6569333.651,94991.969,6570.020
20,0,3,6569153.623,99990.633,6569.915
21,0,3,6568964.362,104989.156,6569.803
22,0,3,6568765.867,109987.532,6569.687
23,0,3,6568558.138,114985.753,6569.565
24,0,3,6568341.175,119983.813,6569.437
25,0,3,6568114.978,124981.704,6569.304
26,0,3,6567879.546,129979.419,6569.166
27,0,3,6567634.879,134976.951,6569.022
28,0,3,6567380.977,139974.294,6568.872
29,0,3,6567117.839,144971.439,6568.718
30,0,3,6566845.466,149968.381,6568.558
31,0,3,6566563.857,154965.112,6568.392
32,0,3,6566273.011,159961.625,6568.221
33,0,3,6565972.929,164957.913,6568.045
34,0,3,6565663.610,169953.969,6567.863
35,0,3,6565345.053,174949.786,6567.676
36,0,3,6565017.259,179945.356,6567.483
37,0,3,6564680.227,184940.674,6567.285
38,0,3,6564333.957,189935.731,6567.081
39,0,3,6563978.448,194930.521,6566.872
40,0,3,6563613.700,199925.036,6566.658
41,0,3,6563239.712,204919.270,6566.438
42,0,3,6562856.484,209913.216,6566.213
43,0,3,6562464.017,214906.866,6565.982
44,0,3,6562062.308,219900.213,6565.746
45,0,3,6561651.358,224893.251,6565.504
46,0,3,6561231.167,229885.972,6565.257
47,0,3,6560801.734,234878.369,6565.005
48,0,3,6560363.058,239870.435,6564.747
49,0,3,6559915.139,244862.163,6564.484
50,0,3,6559457.977,249853.547,6564.215
51,0,3,6558991.571,254844.578,6563.941
52,0,3,6558515.920,259835.250,6563.661
53,0,3,6558031.024,264825.555,6563.376
54,0,3,6557536.883,269815.488,6563.085
55,0,3,6557033.496,274805.040,6562.790
56,0,3,6556520.862,279794.204,6562.488
57,0,3,6555998.982,284782.974,6562.181
58,0,3,6555467.853,289771.342,6561.869
59,0,3,6554927.476,294759.301,6561.551
60,0,3,6554377.851,299746.844,6561.228
61,0,3,6553818.976,304733.965,6560.900
62,0,3,6553250.851,309720.655,6560.566
63,0,3,6552673.476,314706.908,6560.226
64,0,3,6552086.849,319692.717,6559.882
65,0,3,6551490.970,324678.074,6559.531
66,0,3,6550885.839,329662.973,6559.175
67,0,3,6550271.455,334647.406,6558.814
68,0,3,6549647.817,339631.367,6558.448
69,0,3,6549014.924,344614.847,6558.076
70,0,3,6548372.776,349597.840,6557.698
71,0,3,6547721.373,354580.340,6557.315
72,0,3,6547060.713,359562.338,6556.927
73,0,3,6546390.795,364543.828,6556.533
74,0,3,6545711.620,369524.802,6556.134
75,0,3,6545023.185,374505.253,6555.729
76,0,3,6544325.492,379485.175,6555.319
